################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  8.1260387514260646E-01 a      1050     0    42     1    25
 -8.5531553288824747E-01 a      1051     0    43     1     1
  2.3783807092327905E-01 a      1052     0    43     1     2
  7.4460633800908382E-01 a      1053     0    43     1     3
 -6.6558219292441684E-02 a      1054     0    43     1     4
 -1.3207492944227034E-01 a      1055     0    43     1     5
  4.3835648987204573E-01 a      1056     0    43     1     6
 -3.5599597078689366E-01 a      1057     0    43     1     7
  3.5238098365832293E-01 a      1058     0    43     1     8
  1.4712811881443130E-01 a      1059     0    43     1     9
  7.6962893123233886E-02 a      1060     0    43     1    10
  4.2110624979097255E-01 a      1061     0    43     1    11
  5.3643638110379599E-01 a      1062     0    43     1    12
 -6.4032376163805038E-01 a      1063     0    43     1    13
  2.0451346286745298E-01 a      1064     0    43     1    14
  4.6856383041160334E-02 a      1065     0    43     1    15
  1.0455664658457856E-01 a      1066     0    43     1    16
  2.5519434143654718E-01 a      1067     0    43     1    17
 -4.2554829831010271E-01 a      1068     0    43     1    18
 -2.9382351952208141E-01 a      1069     0    43     1    19
 -2.6018171750446357E-02 a      1070     0    43     1    20
 -2.9742575886231032E-01 a      1071     0    43     1    21
 -2.0138455951392847E-01 a      1072     0    43     1    22
 -5.0479813946919039E-01 a      1073     0    43     1    23
 -3.1473881145677968E-01 a      1074     0    43     1    24
  1.3625205314604349E-01 a      1075     0    43     1    25
 -5.5162117289850898E-01 a      1076     0    44     1     1
 -1.6518270153031261E-01 a      1077     0    44     1     2
 -2.3322488630517343E-01 a      1078     0    44     1     3
  4.1663952433160756E-01 a      1079     0    44     1     4
 -4.7343787758472666E-01 a      1080     0    44     1     5
 -5.7681687372488899E-01 a      1081     0    44     1     6
 -1.1346092311607754E-01 a      1082     0    44     1     7
  4.5860868725594783E-01 a      1083     0    44     1     8
 -3.8889415155527872E-02 a      1084     0    44     1     9
  3.4459626470983334E-01 a      1085     0    44     1    10
 -3.5765605084539104E-01 a      1086     0    44     1    11
  5.9631810270105534E-01 a      1087     0    44     1    12
  3.8570996012629843E-01 a      1088     0    44     1    13
 -2.5802473497512696E-01 a      1089     0    44     1    14
 -1.5353399480273838E-01 a      1090     0    44     1    15
  2.6824328395298802E-01 a      1091     0    44     1    16
 -4.6827149330693157E-01 a      1092     0    44     1    17
  5.1158469979835675E-01 a      1093     0    44     1    18
  3.8240203166446107E-01 a      1094     0    44     1    19
  8.8479446746871693E-02 a      1095     0    44     1    20
  2.9375519515609855E-01 a      1096     0    44     1    21
 -7.1973755008367208E-03 a      1097     0    44     1    22
  1.0762778834052655E-01 a      1098     0    44     1    23
  3.8250766719788748E-01 a      1099     0    44     1    24
 -3.9711168873507469E-01 a      1100     0    44     1    25
  7.3601916754956664E-01 a      1101     0    45     1     1
  8.8292278278845657E-02 a      1102     0    45     1     2
 -1.2056015248083294E+00 a      1103     0    45     1     3
 -5.3774713733521640E-01 a      1104     0    45     1     4
 -1.1198716995696600E-01 a      1105     0    45     1     5
  7.1039261603443327E-01 a      1106     0    45     1     6
 -3.8544218742702169E-01 a      1107     0    45     1     7
 -3.7497785679936146E-01 a      1108     0    45     1     8
  5.0084020327088741E-01 a      1109     0    45     1     9
  3.1023779739088941E-01 a      1110     0    45     1    10
 -5.5279125231523596E-01 a      1111     0    45     1    11
 -1.0782126020835328E+00 a      1112     0    45     1    12
 -3.9192600126823246E-01 a      1113     0    45     1    13
 -6.9874924171325695E-02 a      1114     0    45     1    14
 -3.2426693075986718E-01 a      1115     0    45     1    15
  4.2141005804389081E-01 a      1116     0    45     1    16
  5.7394530662791854E-01 a      1117     0    45     1    17
 -6.7712246810784660E-01 a      1118     0    45     1    18
  5.2623818472538419E-01 a      1119     0    45     1    19
 -5.6883447168862344E-01 a      1120     0    45     1    20
 -3.0615102954933066E-01 a      1121     0    45     1    21
 -2.1227733739985266E-01 a      1122     0    45     1    22
  1.7027481294943074E-02 a      1123     0    45     1    23
 -4.5761986898421775E-01 a      1124     0    45     1    24
  4.5098592690869704E-01 a      1125     0    45     1    25
  5.5455604660247371E-01 a      1126     0    46     1     1
 -6.7914985138416165E-02 a      1127     0    46     1     2
  7.7176410011621177E-02 a      1128     0    46     1     3
 -2.5638689482884031E-01 a      1129     0    46     1     4
 -8.8879778195579601E-02 a      1130     0    46     1     5
 -8.8257315233970443E-02 a      1131     0    46     1     6
  9.9463480317199857E-02 a      1132     0    46     1     7
 -4.0156394950521352E-03 a      1133     0    46     1     8
 -3.5169690797225017E-01 a      1134     0    46     1     9
 -1.4802759393757610E-02 a      1135     0    46     1    10
  3.1493677808059012E-01 a      1136     0    46     1    11
 -1.1227724224796398E-01 a      1137     0    46     1    12
  3.4658775865101782E-01 a      1138     0    46     1    13
  2.6662166110869245E-01 a      1139     0    46     1    14
 -7.0363704557577400E-02 a      1140     0    46     1    15
 -2.7577454999555706E-01 a      1141     0    46     1    16
 -6.1698256443151210E-02 a      1142     0    46     1    17
  2.6227816669525639E-01 a      1143     0    46     1    18
  8.5589783819419771E-02 a      1144     0    46     1    19
 -5.3076480107840251E-01 a      1145     0    46     1    20
  3.8565544383423034E-01 a      1146     0    46     1    21
 -4.4308868172277693E-02 a      1147     0    46     1    22
 -1.7528891204456058E-02 a      1148     0    46     1    23
  1.3366687256483262E-01 a      1149     0    46     1    24
  6.4176648364702615E-01 a      1150     0    46     1    25
  6.1819281289392669E-01 a      1151     0    47     1     1
 -1.9835212220555895E-01 a      1152     0    47     1     2
  1.5344244023982226E-01 a      1153     0    47     1     3
  1.6504411375975450E-01 a      1154     0    47     1     4
  6.7767214666188041E-02 a      1155     0    47     1     5
 -6.7281528438061577E-01 a      1156     0    47     1     6
  4.0719599405236706E-01 a      1157     0    47     1     7
  3.8321214249354724E-01 a      1158     0    47     1     8
 -1.4886662774871043E-01 a      1159     0    47     1     9
 -1.8390560770615208E-01 a      1160     0    47     1    10
  1.1276167030452418E-01 a      1161     0    47     1    11
 -3.1130575690779466E-01 a      1162     0    47     1    12
  8.4810674890961024E-01 a      1163     0    47     1    13
 -4.9312797888290177E-01 a      1164     0    47     1    14
 -6.3537200771621977E-02 a      1165     0    47     1    15
 -8.4715505865738361E-01 a      1166     0    47     1    16
 -7.7082730127448029E-01 a      1167     0    47     1    17
  5.2962500082433939E-01 a      1168     0    47     1    18
 -1.9949544968387659E-01 a      1169     0    47     1    19
 -3.7678597880923576E-01 a      1170     0    47     1    20
  4.5736788577957649E-01 a      1171     0    47     1    21
  1.3856133296597522E-02 a      1172     0    47     1    22
 -2.9325722929217135E-01 a      1173     0    47     1    23
  3.3829650933076455E-01 a      1174     0    47     1    24
 -4.1834627592713497E-01 a      1175     0    47     1    25
 -2.3879054764737778E-01 a      1176     0    48     1     1
  3.0862883902529498E-01 a      1177     0    48     1     2
  5.7605485394456324E-01 a      1178     0    48     1     3
  5.3456682027433655E-01 a      1179     0    48     1     4
  3.7057099738511112E-01 a      1180     0    48     1     5
 -2.2437773057190721E-01 a      1181     0    48     1     6
 -9.2533246715574835E-02 a      1182     0    48     1     7
 -7.5903494920290426E-01 a      1183     0    48     1     8
  1.7891754057598439E-01 a      1184     0    48     1     9
 -3.0846364760350575E-01 a      1185     0    48     1    10
  5.6280036659861210E-01 a      1186     0    48     1    11
  7.7317369636608524E-01 a      1187     0    48     1    12
 -1.0233221635497012E+00 a      1188     0    48     1    13
  5.3184589787342151E-01 a      1189     0    48     1    14
 -2.2495944712888916E-01 a      1190     0    48     1    15
  9.7800701250412583E-02 a      1191     0    48     1    16
  9.9291242163579291E-02 a      1192     0    48     1    17
 -1.2390109693988857E-01 a      1193     0    48     1    18
 -1.5931958137967997E-01 a      1194     0    48     1    19
  3.0292868208737406E-01 a      1195     0    48     1    20
  1.6113475100025357E-01 a      1196     0    48     1    21
 -2.4466315988515233E-01 a      1197     0    48     1    22
 -6.6469869237189630E-02 a      1198     0    48     1    23
 -3.7024083403799019E-01 a      1199     0    48     1    24
  4.1802678702184015E-01 a      1200     0    48     1    25
 -1.3076233644258531E-01 a      1201     0    49     1     1
  3.3447288756866550E-01 a      1202     0    49     1     2
  1.9441149462902663E-01 a      1203     0    49     1     3
  2.2597773650731698E-01 a      1204     0    49     1     4
  6.2178485762758262E-01 a      1205     0    49     1     5
 -4.1155282640377466E-01 a      1206     0    49     1     6
  7.4963002982638016E-01 a      1207     0    49     1     7
 -2.3704265056919757E-01 a      1208     0    49     1     8
  7.0340127489642290E-01 a      1209     0    49     1     9
 -1.0600817357115400E-01 a      1210     0    49     1    10
 -7.8150313139699645E-01 a      1211     0    49     1    11
  3.3632271516213913E-01 a      1212     0    49     1    12
  6.7428309205458947E-01 a      1213     0    49     1    13
 -7.3845413606027965E-01 a      1214     0    49     1    14
 -4.7564521450934011E-01 a      1215     0    49     1    15
 -4.4616477702514951E-01 a      1216     0    49     1    16
 -3.0483520580372458E-01 a      1217     0    49     1    17
  2.4497468899437505E-01 a      1218     0    49     1    18
 -2.8700467872054947E-01 a      1219     0    49     1    19
  4.5079842559999067E-01 a      1220     0    49     1    20
 -4.1419490145412041E-01 a      1221     0    49     1    21
  2.3387057362123223E-01 a      1222     0    49     1    22
  9.3742566816185346E-01 a      1223     0    49     1    23
  1.7581436634118719E-01 a      1224     0    49     1    24
 -1.0837681642161208E+00 a      1225     0    49     1    25
  2.3945559013997997E-01 a      1226     0    50     1     1
 -3.7943344142565844E-01 a      1227     0    50     1     2
  7.5202140578826376E-02 a      1228     0    50     1     3
  7.9771752039463240E-01 a      1229     0    50     1     4
 -4.9817139249308640E-02 a      1230     0    50     1     5
  1.6705711192994180E-01 a      1231     0    50     1     6
  1.1495865440451749E-02 a      1232     0    50     1     7
 -1.2346995935001860E-01 a      1233     0    50     1     8
  1.9295555888811339E-01 a      1234     0    50     1     9
 -2.7062799203667637E-01 a      1235     0    50     1    10
 -5.0410622680343561E-02 a      1236     0    50     1    11
 -5.5025990690913973E-01 a      1237     0    50     1    12
 -4.6364938243637904E-01 a      1238     0    50     1    13
  4.0008516765271879E-01 a      1239     0    50     1    14
  6.2400867667102144E-01 a      1240     0    50     1    15
 -4.1746101571142108E-01 a      1241     0    50     1    16
 -3.0370768653234953E-01 a      1242     0    50     1    17
 -2.8093327900098908E-01 a      1243     0    50     1    18
 -3.6634585401484598E-01 a      1244     0    50     1    19
  4.9523983359603474E-01 a      1245     0    50     1    20
 -1.7145601510041056E-01 a      1246     0    50     1    21
 -3.1926672651468524E-01 a      1247     0    50     1    22
  6.6063778086666358E-02 a      1248     0    50     1    23
 -3.5631420923946078E-01 a      1249     0    50     1    24
 -1.2670172745457522E-01 a      1250     0    50     1    25
 -3.0399159814460390E-02 b      1251     1     1
  7.4192783138469845E-02 b      1252     1     2
  4.2015977963907269E-02 b      1253     1     3
  4.6874080663781868E-02 b      1254     1     4
 -3.9043686491674191E-03 b      1255     1     5
  4.1567384704832649E-02 b      1256     1     6
  1.0255283303400305E-01 b      1257     1     7
  4.5548038935802983E-02 b      1258     1     8
  7.5754403990483860E-02 b      1259     1     9
 -3.2615067301413198E-02 b      1260     1    10
  2.5452980183685421E-02 b      1261     1    11
 -6.3950509999347094E-02 b      1262     1    12
 -3.7840417735347874E-02 b      1263     1    13
  2.1394346255164461E-02 b      1264     1    14
 -1.3899008542135537E-02 b      1265     1    15
 -6.7069238540974296E-02 b      1266     1    16
 -9.3959380054858266E-03 b      1267     1    17
 -3.2359896156102699E-02 b      1268     1    18
  7.4845305265989662E-02 b      1269     1    19
  1.3109623475217951E-02 b      1270     1    20
  1.0460791847909047E-02 b      1271     1    21
  9.2653304726065783E-02 b      1272     1    22
  6.2428051963323870E-02 b      1273     1    23
 -1.0819885717081133E-01 b      1274     1    24
  5.8395758504959080E-02 b      1275     1    25
 -1.7920892958723414E-01 a      1276     1     1     2     1
 -2.0902787079683280E-01 a      1277     1     1     2     2
 -6.1114378397485866E-03 a      1278     1     1     2     3
  2.3440287855785111E-01 a      1279     1     1     2     4
 -1.6215453753532805E-01 a      1280     1     1     2     5
  2.0146078682953353E-01 a      1281     1     1     2     6
  2.1691909920168010E-02 a      1282     1     1     2     7
  3.5422028698928260E-01 a      1283     1     1     2     8
  7.3388052946698062E-02 a      1284     1     1     2     9
  3.3847836409745491E-01 a      1285     1     1     2    10
 -4.8612944115911376E-02 a      1286     1     1     2    11
  2.9935961707591724E-01 a      1287     1     1     2    12
 -2.9021129438476179E-01 a      1288     1     1     2    13
  5.3738879267731099E-01 a      1289     1     1     2    14
  2.6101289391288218E-01 a      1290     1     1     2    15
  3.9907845299919024E-02 a      1291     1     1     2    16
 -3.0479850844701423E-01 a      1292     1     1     2    17
 -1.6262957968646952E-01 a      1293     1     1     2    18
 -2.5697217591078653E-01 a      1294     1     1     2    19
 -4.8676741817553451E-02 a      1295     1     1     2    20
 -1.5853451683751846E-01 a      1296     1     1     2    21
 -1.6561639469430287E-01 a      1297     1     1     2    22
 -3.4038681322441096E-02 a      1298     1     1     2    23
 -5.1442591623379574E-01 a      1299     1     1     2    24
 -4.1412109015275189E-01 a      1300     1     1     2    25
  6.2265895357037401E-02 a      1301     1     2     2     1
 -4.4166589676972756E-01 a      1302     1     2     2     2
 -2.5471831584055700E-02 a      1303     1     2     2     3
 -1.4776523454076876E-01 a      1304     1     2     2     4
  3.2128610655293355E-01 a      1305     1     2     2     5
  6.6531462603213476E-01 a      1306     1     2     2     6
  6.1245518307733136E-02 a      1307     1     2     2     7
 -3.4760039898493139E-01 a      1308     1     2     2     8
 -3.5323154061823847E-01 a      1309     1     2     2     9
 -6.7144346454856615E-03 a      1310     1     2     2    10
  6.3587607909771970E-02 a      1311     1     2     2    11
 -3.0778169764065621E-02 a      1312     1     2     2    12
  5.8496990326507592E-01 a      1313     1     2     2    13
  2.4592876410011336E-01 a      1314     1     2     2    14
 -2.6590490828770996E-01 a      1315     1     2     2    15
 -2.3192129001597755E-01 a      1316     1     2     2    16
 -1.9693429178990704E-01 a      1317     1     2     2    17
 -9.1188590276894452E-02 a      1318     1     2     2    18
 -1.1458947831226377E-02 a      1319     1     2     2    19
 -2.7239713747371352E-01 a      1320     1     2     2    20
  8.3879229948064271E-01 a      1321     1     2     2    21
  2.2660937295428316E-01 a      1322     1     2     2    22
 -2.1375678959724578E-01 a      1323     1     2     2    23
  2.6550421226262660E-01 a      1324     1     2     2    24
 -6.0212290933738928E-02 a      1325     1     2     2    25
 -5.4509042298193519E-02 a      1326     1     3     2     1
 -2.2110527173624081E-01 a      1327     1     3     2     2
  2.2204850288155334E-01 a      1328     1     3     2     3
  4.0034746204759275E-02 a      1329     1     3     2     4
 -2.5619846202377095E-01 a      1330     1     3     2     5
  4.7186092668382557E-01 a      1331     1     3     2     6
  2.5145548038455687E-02 a      1332     1     3     2     7
 -5.1822281720328423E-01 a      1333     1     3     2     8
 -2.4792594843012836E-01 a      1334     1     3     2     9
 -5.6032006176896554E-01 a      1335     1     3     2    10
 -3.5681924267197421E-02 a      1336     1     3     2    11
 -1.1703464322735063E-01 a      1337     1     3     2    12
  1.1750251057491626E-01 a      1338     1     3     2    13
 -2.7331191339728417E-01 a      1339     1     3     2    14
 -4.9231056428475073E-01 a      1340     1     3     2    15
  2.2560483325001526E-01 a      1341     1     3     2    16
  6.8743228233975584E-01 a      1342     1     3     2    17
  4.1338892805060512E-01 a      1343     1     3     2    18
  3.8629207246687092E-01 a      1344     1     3     2    19
 -4.2517152109065054E-01 a      1345     1     3     2    20
 -1.8771172664469457E-01 a      1346     1     3     2    21
  1.8102663975863006E-01 a      1347     1     3     2    22
 -1.3158455574438610E-01 a      1348     1     3     2    23
 -2.3364199391613835E-01 a      1349     1     3     2    24
  5.0129735333376491E-01 a      1350     1     3     2    25
  5.4076530000436829E-02 a      1351     1     4     2     1
  2.9633753574123917E-02 a      1352     1     4     2     2
  5.7762864497840916E-01 a      1353     1     4     2     3
 -4.2293776633829411E-01 a      1354     1     4     2     4
 -4.8193995044601763E-02 a      1355     1     4     2     5
 -2.3176683794088748E-01 a      1356     1     4     2     6
  3.4177210235832900E-01 a      1357     1     4     2     7
 -3.6763697304918608E-01 a      1358     1     4     2     8
 -3.4436921791650188E-01 a      1359     1     4     2     9
 -4.3763591737443724E-01 a      1360     1     4     2    10
  2.7108476736515791E-01 a      1361     1     4     2    11
  3.9087467497440360E-02 a      1362     1     4     2    12
 -2.4767083310451654E-01 a      1363     1     4     2    13
 -4.2325196551710242E-01 a      1364     1     4     2    14
  3.6966982833798362E-01 a      1365     1     4     2    15
  2.8472676768591254E-01 a      1366     1     4     2    16
  7.9005935684088069E-01 a      1367     1     4     2    17
  7.6202253357101135E-01 a      1368     1     4     2    18
 -6.5886692080138060E-02 a      1369     1     4     2    19
 -1.2484133737945100E-01 a      1370     1     4     2    20
  4.7367232427775896E-01 a      1371     1     4     2    21
  2.0813430716986045E-01 a      1372     1     4     2    22
 -1.7885450075786227E-01 a      1373     1     4     2    23
 -5.0457506115234529E-02 a      1374     1     4     2    24
  1.2050781952304866E-01 a      1375     1     4     2    25
  3.2460078704561346E-01 a      1376     1     5     2     1
  9.7621338053356196E-02 a      1377     1     5     2     2
  3.9790353987502824E-01 a      1378     1     5     2     3
  2.0272349124824085E-01 a      1379     1     5     2     4
  6.8041213150563787E-02 a      1380     1     5     2     5
  1.7568056722979691E-01 a      1381     1     5     2     6
 -2.0433860657295927E-01 a      1382     1     5     2     7
  3.5639300735241647E-01 a      1383     1     5     2     8
 -4.5987898749257575E-03 a      1384     1     5     2     9
 -2.7421219789601498E-01 a      1385     1     5     2    10
 -3.7716178048362359E-01 a      1386     1     5     2    11
 -4.0343974182059684E-02 a      1387     1     5     2    12
 -1.2761954564649011E-01 a      1388     1     5     2    13
 -9.7029767284123561E-02 a      1389     1     5     2    14
  1.6005762452247718E-01 a      1390     1     5     2    15
  5.3961966230621572E-01 a      1391     1     5     2    16
  6.0041081669106662E-02 a      1392     1     5     2    17
  4.5980025855158974E-01 a      1393     1     5     2    18
  3.5790981365739979E-02 a      1394     1     5     2    19
  1.9747383868181569E-02 a      1395     1     5     2    20
  1.9674176659333228E-01 a      1396     1     5     2    21
  6.6303728994869771E-01 a      1397     1     5     2    22
 -2.9699057910062876E-01 a      1398     1     5     2    23
  4.4869860340774814E-01 a      1399     1     5     2    24
 -2.3420782823446501E-01 a      1400     1     5     2    25
  9.6136395915255454E-02 a      1401     1     6     2     1
 -5.6467493507190469E-01 a      1402     1     6     2     2
 -4.1994701019632202E-01 a      1403     1     6     2     3
  1.3392381260112973E-01 a      1404     1     6     2     4
  1.1685823853849551E+00 a      1405     1     6     2     5
  3.2402543547015306E-01 a      1406     1     6     2     6
 -4.9431527273610987E-01 a      1407     1     6     2     7
 -1.5340826605621095E-03 a      1408     1     6     2     8
  1.0019927961536337E+00 a      1409     1     6     2     9
  4.6991141074151477E-01 a      1410     1     6     2    10
 -3.3673268354076935E-01 a      1411     1     6     2    11
 -4.4011865425132835E-01 a      1412     1     6     2    12
  4.0566429572947404E-01 a      1413     1     6     2    13
  9.7585471918640987E-01 a      1414     1     6     2    14
 -4.3034007763942450E-01 a      1415     1     6     2    15
 -2.5612113374410173E-01 a      1416     1     6     2    16
 -1.6448860983925701E-01 a      1417     1     6     2    17
 -1.8920879970829143E-03 a      1418     1     6     2    18
  2.2180515898933349E-02 a      1419     1     6     2    19
 -3.4426814717754206E-01 a      1420     1     6     2    20
 -1.5069346044116291E-01 a      1421     1     6     2    21
 -1.9665721027430441E-01 a      1422     1     6     2    22
 -3.8433857871390797E-01 a      1423     1     6     2    23
 -3.9232697446835330E-01 a      1424     1     6     2    24
 -1.8420745279800213E-01 a      1425     1     6     2    25
 -2.8727432729546976E-01 a      1426     1     7     2     1
  2.7856242721218705E-01 a      1427     1     7     2     2
 -4.9203604762633318E-01 a      1428     1     7     2     3
 -5.7945938058939095E-01 a      1429     1     7     2     4
 -2.3758679850912101E-01 a      1430     1     7     2     5
 -1.5554262458122867E-01 a      1431     1     7     2     6
 -1.0479231389972098E-02 a      1432     1     7     2     7
  7.6415473173441739E-01 a      1433     1     7     2     8
  4.7356041684984185E-01 a      1434     1     7     2     9
 -9.1416088027727591E-02 a      1435     1     7     2    10
  1.2002067200809093E-01 a      1436     1     7     2    11
  1.7639122000219420E-01 a      1437     1     7     2    12
  2.8722627536831780E-01 a      1438     1     7     2    13
 -6.4555534231474798E-01 a      1439     1     7     2    14
  5.8548036223996403E-01 a      1440     1     7     2    15
  2.9946502597476765E-01 a      1441     1     7     2    16
  1.0011346386751245E-01 a      1442     1     7     2    17
  1.5682008806997433E-01 a      1443     1     7     2    18
 -1.3832446104677777E-02 a      1444     1     7     2    19
  1.8642781568086231E-02 a      1445     1     7     2    20
 -1.9031405298873186E-01 a      1446     1     7     2    21
  4.5810622377813198E-01 a      1447     1     7     2    22
  3.5671852558018380E-01 a      1448     1     7     2    23
 -3.7248465626830662E-01 a      1449     1     7     2    24
 -1.0720425302680613E-01 a      1450     1     7     2    25
 -5.5312069391361796E-01 a      1451     1     8     2     1
  2.4202466321122532E-01 a      1452     1     8     2     2
  3.9448339699063112E-02 a      1453     1     8     2     3
 -2.7987364031813244E-01 a      1454     1     8     2     4
 -2.7782836734847510E-01 a      1455     1     8     2     5
  2.7059050011580227E-01 a      1456     1     8     2     6
 -7.4133092260697597E-01 a      1457     1     8     2     7
 -9.0605725186220079E-02 a      1458     1     8     2     8
  1.8436494817762134E-01 a      1459     1     8     2     9
  1.5331799127683718E-01 a      1460     1     8     2    10
 -6.4297663807377989E-02 a      1461     1     8     2    11
  6.1408293726708162E-02 a      1462     1     8     2    12
  5.3342042793424416E-01 a      1463     1     8     2    13
  2.0794270233277365E-01 a      1464     1     8     2    14
 -5.0224040642634549E-01 a      1465     1     8     2    15
  1.1111040254645321E-01 a      1466     1     8     2    16
 -9.8573846701217147E-02 a      1467     1     8     2    17
  5.4292426778276915E-03 a      1468     1     8     2    18
 -2.1366567631876426E-02 a      1469     1     8     2    19
 -4.7581037171354512E-01 a      1470     1     8     2    20
  8.2326719162627168E-02 a      1471     1     8     2    21
 -2.6548547998479360E-01 a      1472     1     8     2    22
  3.8991600394214287E-01 a      1473     1     8     2    23
  4.5432432958948316E-01 a      1474     1     8     2    24
  5.6676730099845260E-03 a      1475     1     8     2    25
 -1.4555047720852168E-01 a      1476     1     9     2     1
  1.6450823646394153E-01 a      1477     1     9     2     2
 -1.0933801187733436E-01 a      1478     1     9     2     3
  8.3379366031431992E-02 a      1479     1     9     2     4
 -5.1537389405062195E-01 a      1480     1     9     2     5
 -2.0511160511819851E-01 a      1481     1     9     2     6
  4.8311273612889072E-01 a      1482     1     9     2     7
  2.9348242927487805E-01 a      1483     1     9     2     8
  2.0187823813815123E-01 a      1484     1     9     2     9
 -5.9643897994648687E-01 a      1485     1     9     2    10
 -3.8586706342681665E-01 a      1486     1     9     2    11
  1.2502241064458611E-01 a      1487     1     9     2    12
  3.2096076997366618E-01 a      1488     1     9     2    13
 -1.5455191187299667E-02 a      1489     1     9     2    14
 -9.4484008093919228E-02 a      1490     1     9     2    15
 -4.0347963886992649E-01 a      1491     1     9     2    16
  6.3558598312015691E-01 a      1492     1     9     2    17
 -4.0478890716302351E-01 a      1493     1     9     2    18
  1.9772557297786811E-01 a      1494     1     9     2    19
 -5.1067925665542013E-01 a      1495     1     9     2    20
 -4.7058930296245666E-01 a      1496     1     9     2    21
 -3.7911744357448834E-01 a      1497     1     9     2    22
  1.3857822006888018E-01 a      1498     1     9     2    23
  2.8747638185315921E-01 a      1499     1     9     2    24
 -7.3657259545438808E-02 a      1500     1     9     2    25
  4.0439439918076775E-02 a      1501     1    10     2     1
  3.9508611908098255E-02 a      1502     1    10     2     2
 -2.4083464491242715E-01 a      1503     1    10     2     3
  4.1049981527030821E-01 a      1504     1    10     2     4
  6.5530960156944995E-01 a      1505     1    10     2     5
  5.1375990623823353E-01 a      1506     1    10     2     6
 -4.7416198645798630E-01 a      1507     1    10     2     7
 -5.6023277179608387E-02 a      1508     1    10     2     8
 -2.0684914261698395E-01 a      1509     1    10     2     9
  2.2309414506657094E-01 a      1510     1    10     2    10
 -1.8825719937556892E-01 a      1511     1    10     2    11
  1.7051219425796244E-01 a      1512     1    10     2    12
  1.0692576191610964E-01 a      1513     1    10     2    13
 -5.2580366611966778E-01 a      1514     1    10     2    14
 -2.1813985751395881E-03 a      1515     1    10     2    15
 -4.6578894057112841E-01 a      1516     1    10     2    16
 -4.3343195971713006E-01 a      1517     1    10     2    17
 -1.6659267133183658E-01 a      1518     1    10     2    18
 -1.6500550721486326E-01 a      1519     1    10     2    19
 -1.9794238235222283E-01 a      1520     1    10     2    20
 -1.4178295298573670E-01 a      1521     1    10     2    21
  1.1012366952732981E-03 a      1522     1    10     2    22
  2.3038706427752975E-01 a      1523     1    10     2    23
  2.2057049420275573E-01 a      1524     1    10     2    24
  4.9974278473871864E-01 a      1525     1    10     2    25
 -2.9771726439703466E-01 a      1526     1    11     2     1
  1.0970036920260189E-01 a      1527     1    11     2     2
 -1.5955684192146125E-01 a      1528     1    11     2     3
 -5.4133085399617253E-01 a      1529     1    11     2     4
 -1.1271064857123521E+00 a      1530     1    11     2     5
  1.4966572230722565E-02 a      1531     1    11     2     6
 -3.1592047902568215E-01 a      1532     1    11     2     7
 -2.3617295573404284E-01 a      1533     1    11     2     8
  4.3010419975081371E-01 a      1534     1    11     2     9
  2.4416543107038077E-01 a      1535     1    11     2    10
 -1.8552200592260173E-01 a      1536     1    11     2    11
 -4.0692029081275793E-01 a      1537     1    11     2    12
  3.1726497159235439E-01 a      1538     1    11     2    13
 -2.2215343262675696E-01 a      1539     1    11     2    14
 -2.6840479606256495E-01 a      1540     1    11     2    15
  1.0804361404453665E-01 a      1541     1    11     2    16
 -2.5189975089636241E-01 a      1542     1    11     2    17
  9.8779182005655081E-02 a      1543     1    11     2    18
 -4.0293005773928137E-01 a      1544     1    11     2    19
  3.8424806876899958E-01 a      1545     1    11     2    20
 -2.0427587947131877E-02 a      1546     1    11     2    21
 -2.7114980652664383E-01 a      1547     1    11     2    22
 -2.2784523283470276E-01 a      1548     1    11     2    23
 -2.1998325431538365E-01 a      1549     1    11     2    24
 -8.3604747439919386E-02 a      1550     1    11     2    25
 -4.1753052145782350E-02 a      1551     1    12     2     1
  3.3493657245706276E-01 a      1552     1    12     2     2
  6.5893928114741415E-02 a      1553     1    12     2     3
 -2.2180670588634134E-02 a      1554     1    12     2     4
  3.0031018221002426E-01 a      1555     1    12     2     5
  4.3596372596128546E-01 a      1556     1    12     2     6
  3.5486545269254433E-01 a      1557     1    12     2     7
 -6.1510464670000722E-02 a      1558     1    12     2     8
 -2.2641468750492599E-01 a      1559     1    12     2     9
 -4.6406959828186262E-01 a      1560     1    12     2    10
  2.1143758560019263E-01 a      1561     1    12     2    11
  4.1020033381187437E-01 a      1562     1    12     2    12
 -3.1569612142821135E-01 a      1563     1    12     2    13
 -6.0701033021868234E-01 a      1564     1    12     2    14
  4.2560967605455396E-01 a      1565     1    12     2    15
  4.9552704144945614E-01 a      1566     1    12     2    16
 -4.0397577660906049E-02 a      1567     1    12     2    17
  3.1379642303456512E-01 a      1568     1    12     2    18
 -9.9428780122601076E-02 a      1569     1    12     2    19
  2.2785612990255760E-01 a      1570     1    12     2    20
 -1.4227237538850140E-01 a      1571     1    12     2    21
