################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.3643007340351849E-01 a       220     0     9     1    20
  2.0393631410269980E-01 a       221     0     9     1    21
 -8.6966663610070952E-02 a       222     0     9     1    22
 -2.1401847031566429E-01 a       223     0     9     1    23
 -8.2026374444736067E-02 a       224     0     9     1    24
  6.7938688535856731E-02 a       225     0     9     1    25
  8.4747098390196418E-01 a       226     0    10     1     1
  2.6204587449973726E-01 a       227     0    10     1     2
 -4.0416570809215158E-01 a       228     0    10     1     3
 -9.5832869104591697E-02 a       229     0    10     1     4
  3.5781568370544536E-01 a       230     0    10     1     5
 -9.7620442275637050E-03 a       231     0    10     1     6
 -5.9446838913274000E-02 a       232     0    10     1     7
 -2.4077411089551243E-01 a       233     0    10     1     8
 -6.1769916300191914E-02 a       234     0    10     1     9
  3.2823755244116254E-01 a       235     0    10     1    10
 -7.3284272302747233E-01 a       236     0    10     1    11
 -8.3335771275241929E-02 a       237     0    10     1    12
 -3.9859565114501422E-01 a       238     0    10     1    13
 -2.3028507693802766E-01 a       239     0    10     1    14
 -2.1689709092933387E-01 a       240     0    10     1    15
  7.7440423931983859E-02 a       241     0    10     1    16
  4.7705292595045840E-01 a       242     0    10     1    17
 -6.7445492925074957E-02 a       243     0    10     1    18
  1.2906853918512950E-01 a       244     0    10     1    19
 -1.5346298787912613E-01 a       245     0    10     1    20
  6.0581300944015393E-01 a       246     0    10     1    21
  6.2689172404309379E-01 a       247     0    10     1    22
  7.7133590258898377E-01 a       248     0    10     1    23
  6.4213081197970576E-02 a       249     0    10     1    24
  3.1614586270216988E-01 a       250     0    10     1    25
 -1.1816986353341422E-01 a       251     0    11     1     1
  3.2895326317249579E-01 a       252     0    11     1     2
 -1.3243593166633222E-01 a       253     0    11     1     3
  2.5055976523115114E-01 a       254     0    11     1     4
 -1.0513905002136607E-01 a       255     0    11     1     5
  1.2062200343200206E-02 a       256     0    11     1     6
 -1.1535468506962847E-01 a       257     0    11     1     7
 -1.8278009378571469E-01 a       258     0    11     1     8
  1.3066703427696827E-01 a       259     0    11     1     9
  3.5621127699860916E-01 a       260     0    11     1    10
 -9.2393593143076450E-02 a       261     0    11     1    11
  5.1383065705098863E-01 a       262     0    11     1    12
 -1.8414154657629907E-02 a       263     0    11     1    13
  5.4835409100165260E-02 a       264     0    11     1    14
  2.9669821160976706E-01 a       265     0    11     1    15
  1.9940222030529667E-01 a       266     0    11     1    16
  3.1678753193484016E-01 a       267     0    11     1    17
 -2.2088387642434557E-01 a       268     0    11     1    18
 -1.0846016761701845E-01 a       269     0    11     1    19
  1.7029857732764986E-01 a       270     0    11     1    20
  3.5671389202709447E-01 a       271     0    11     1    21
 -3.2134203925598409E-01 a       272     0    11     1    22
 -2.3834399559156580E-01 a       273     0    11     1    23
  2.9360639839510183E-01 a       274     0    11     1    24
  1.5208269688138773E-01 a       275     0    11     1    25
  6.8283028497472031E-02 a       276     0    12     1     1
 -1.6617684227694590E-01 a       277     0    12     1     2
  3.3759083386484701E-01 a       278     0    12     1     3
 -3.5318529327941778E-01 a       279     0    12     1     4
  2.5004101859899908E-01 a       280     0    12     1     5
  6.0806194062269503E-01 a       281     0    12     1     6
  1.6860754673320541E-01 a       282     0    12     1     7
 -2.7633448886006207E-01 a       283     0    12     1     8
 -1.7041079149893001E-02 a       284     0    12     1     9
  1.1130291367990541E-01 a       285     0    12     1    10
 -3.3951324285473627E-01 a       286     0    12     1    11
  3.5872100265795970E-01 a       287     0    12     1    12
 -1.8628506066727610E-01 a       288     0    12     1    13
 -7.7934327629058747E-02 a       289     0    12     1    14
  3.5810968939505389E-02 a       290     0    12     1    15
  4.5030080426302355E-01 a       291     0    12     1    16
  2.1027427589037501E-01 a       292     0    12     1    17
  5.2259512856733685E-02 a       293     0    12     1    18
 -2.2059218169918593E-01 a       294     0    12     1    19
  1.3042595176461710E-01 a       295     0    12     1    20
  1.9719260950873066E-01 a       296     0    12     1    21
  4.2703295336201340E-02 a       297     0    12     1    22
